layer_idx,n_obs,T_mean,T_median,T_p25,T_p75,T_p95,sink_mass_median,sink_mass_mean,frac_sink_at_bos
0,16099,1.4341450825171569,0.4985051393779501,0.0,1.2478920382607714,7.999312435600809,0.3046875,0.4006477468272486,0.026212808248959562
1,16268,0.6545898221617403,0.4724758183911247,0.18669793139375349,0.902357637570231,2.001682656946551,0.2890625,0.34471983917814114,0.02784607819031227
2,16268,0.5141599856015718,0.3100054291249712,0.124873329881408,0.6269757997728331,1.7462970951512977,0.2333984375,0.29718148142634315,0.011064666830587657
3,16268,0.7574036196455877,0.5015519869806615,0.2171682881241228,1.0665239741166093,2.3330791529724744,0.310546875,0.37407014057505533,0.024895500368822227
4,16268,3.096232726416189,2.7500459180751955,1.5596037970048027,4.116985555825269,7.859594747702111,0.8515625,0.7795965130451653,0.011064666830587657
5,16268,3.0824996364224093,3.011939781545177,1.9123874570166697,4.064324500734659,5.93314939514021,0.85546875,0.7990010704488874,0.003688222276862552
6,16268,2.044890389164865,1.890049639476851,0.9236708391717776,2.9879645929663554,4.49942864536852,0.71875,0.6849367035264784,0.009220555692156381
7,16268,1.8752158299319344,1.7381137737560737,0.8456731646602017,2.758470840693996,4.102643365036796,0.65625,0.6438479323864335,0.001844111138431276
8,16268,2.438273787333667,2.1480398580225883,1.0482705338072589,3.3961782190978163,5.635402536072288,0.74609375,0.7110124770446582,0.002766166707646914
9,16268,1.8932511743539195,1.6974220521463523,0.7884573603642703,2.7473984734112227,4.2935765911643715,0.64453125,0.6367292551904045,0.0
10,16268,2.0961481454305355,2.0104486701928845,0.9452862378409141,2.9718598373475094,4.408413389847077,0.73046875,0.6951538416100627,0.000922055569215638
11,16268,1.9404438173540741,1.6023540575456954,0.746875539679075,2.8227131094223497,4.7885168581972914,0.65625,0.6538407096178079,0.002766166707646914
12,16268,2.105432223868962,1.937791024616809,1.0020743616254624,2.9296666607407857,4.775657285135043,0.69140625,0.6728811571221109,0.0
13,16268,1.7928869893170676,1.6274564179367788,0.7528664152615676,2.5612796285725743,3.9989960459752028,0.63671875,0.626668404325209,0.001844111138431276
14,16268,2.9020199810209943,2.050454004806584,0.9370359298871718,3.9035925066991264,9.6048573928526,0.71875,0.6983497606497419,0.0
15,16268,2.1769350888521304,1.9367523994772564,0.9578932257888739,2.996952312436844,5.180304747413431,0.69140625,0.6755651432259651,0.0
16,16268,2.2739651942551014,1.9363406980391626,0.9373102634379495,2.9993845448675582,5.71953083162434,0.69140625,0.6686306370251414,0.0
17,16268,2.7376769215870995,2.4995481997809486,1.3758776002616349,3.7534179752515073,6.123596359378081,0.79296875,0.7439097509297393,0.0
18,16253,2.2694142366233305,1.7457743559862318,0.845391282116622,2.7945676289585566,5.688278288120236,0.65234375,0.6436388666707685,0.0
19,16253,2.3624031042659857,1.8751946242569157,0.8422903386565812,2.938452566730693,6.753064148126635,0.6953125,0.6656039221605242,0.0009229065403310159
20,16268,2.1890688216562335,1.997663847827313,1.0332295294052578,3.0354043464860747,4.942627159271844,0.71875,0.6897277006623432,0.0
21,16268,2.2468158904034037,2.0024805005437076,0.9084911543794063,3.316735611944753,5.269616732560126,0.734375,0.6949513015390644,0.001844111138431276
22,16268,3.4989282227583938,3.2654766453191044,2.0261822229638424,4.54820209169124,7.329154773265563,0.8984375,0.823528228827299,0.001844111138431276
23,16268,2.5961276820484884,2.3694828068654092,1.0498221244986776,3.807685693765668,5.90248721537084,0.796875,0.7388683700842913,0.002766166707646914
24,16253,2.510184540110061,2.3653614991382175,1.2572641013761596,3.5850826604322927,5.314190715704327,0.81640625,0.7595054266423891,0.0027687196209930476
25,16268,2.3440151946840846,2.1491518405720775,1.0169342576538425,3.3259739604245677,5.232128158149359,0.7578125,0.7168704713624908,0.000922055569215638
26,16268,2.9557431953747457,2.799141034380293,1.4452796348137686,4.01414423771476,6.219603804533225,0.859375,0.7943577762901094,0.001844111138431276
27,15563,2.9917403220425864,2.7323148231018415,1.5694979803254605,3.810576389091456,7.999312435600809,0.8203125,0.7437412590659738,0.005397416950459423
