pair,key,layer_idx,rel_depth,sub_module,shape,numel,norm_llm,norm_delta,rel_diff
qwen25,lm_head.weight,-1,-1.0,lm_head,152064x3584,544997376,252.6208953857422,188.09957885742188,0.74459232111501
qwen25,model.layers.22.mlp.down_proj.weight,22,0.8148148148148148,mlp.down_proj,3584x18944,67895296,137.9902801513672,74.2724380493164,0.5382439833287093
qwen25,model.layers.23.input_layernorm.weight,23,0.8518518518518519,input_layernorm,3584,3584,58.69769287109375,0.887477457523346,0.015119460648518825
qwen25,model.layers.23.mlp.down_proj.weight,23,0.8518518518518519,mlp.down_proj,3584x18944,67895296,137.8665771484375,73.31581115722656,0.5317881438246578
qwen25,model.layers.23.mlp.gate_proj.weight,23,0.8518518518518519,mlp.gate_proj,18944x3584,67895296,137.11077880859375,81.62202453613281,0.5952998388994415
qwen25,model.layers.23.mlp.up_proj.weight,23,0.8518518518518519,mlp.up_proj,18944x3584,67895296,140.54798889160156,82.15142059326172,0.5845079765361956
qwen25,model.layers.23.post_attention_layernorm.weight,23,0.8518518518518519,post_attention_layernorm,3584,3584,85.10198211669922,1.7177268266677856,0.02018433394785435
qwen25,model.layers.23.self_attn.k_proj.bias,23,0.8518518518518519,self_attn.k_proj.bias,512,512,15.486348152160645,2.058189630508423,0.13290348442936598
qwen25,model.layers.23.self_attn.k_proj.weight,23,0.8518518518518519,self_attn.k_proj,512x3584,1835008,20.537921905517578,12.327903747558594,0.6002507850731803
qwen25,model.layers.23.self_attn.o_proj.weight,23,0.8518518518518519,self_attn.o_proj,3584x3584,12845056,64.91265869140625,33.43883514404297,0.5151358119994848
qwen25,model.layers.23.self_attn.q_proj.bias,23,0.8518518518518519,self_attn.q_proj.bias,3584,3584,75.45263671875,0.8167396783828735,0.010824534620669042
qwen25,model.layers.23.self_attn.q_proj.weight,23,0.8518518518518519,self_attn.q_proj,3584x3584,12845056,59.45966339111328,42.70683670043945,0.7182488810863724
qwen25,model.layers.23.self_attn.v_proj.bias,23,0.8518518518518519,self_attn.v_proj.bias,512,512,7.376205921173096,0.0747266411781311,0.01013076939238252
qwen25,model.layers.23.self_attn.v_proj.weight,23,0.8518518518518519,self_attn.v_proj,512x3584,1835008,27.5555477142334,11.226154327392578,0.4074008778128507
qwen25,model.layers.24.input_layernorm.weight,24,0.8888888888888888,input_layernorm,3584,3584,61.168724060058594,0.8266588449478149,0.013514403931920483
